UserId,ProductCode,ProductName,SearchProductName,Closing,ClosingUpdated,SessionId
AIOCD2501,APVD,V TOTAL DROPS 15ML,VTOTALDROPS15ML,131,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APTV,V TOTAL SYP 200ML,VTOTALSYP200ML,8,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CUJS,UNOBIOTICS JUNIRO SACH 1GM,UNOBIOTICSJUNIROSACH1GM,112,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD6301,CA74,NEW ALENE TAB .,NEWALENETAB,19,2019-05-16 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,IAGS,ARGITAS SACHET 10GM,ARGITASSACHET10GM,3070,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MEAHD,ACTIHEAL D TAB 10S,ACTIHEALDTAB10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TA5V,AMPOXIN 500MG VAIL 1S,AMPOXIN500MGVAIL1S,95,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CAR,ASTHALIN R/C 30S,ASTHALINRC30S,167,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CA5,ATORLIP 5MG 10S,ATORLIP5MG10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CLAC,ALTRADAY CAPS 10S,ALTRADAYCAPS10S,50,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AXA2,APROGEST 200 10S,APROGEST20010S,70,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APACS,ACECLO SPAS TAB 10S,ACECLOSPASTAB10S,21,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CATT,ADVENT 625 TAB 6S,ADVENT625TAB6S,18,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SVAN,ARACHITOL NANO 60K 5ML,ARACHITOLNANO60K5ML,196,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,STA8T,AZARBI 80MG TAB 10S,AZARBI80MGTAB10S,57,2018-10-31 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCAM,ALLERCET M TAB. 10S,ALLERCETMTAB10S,127,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCAG1,AMLONG 10MG 10S,AMLONG10MG10S,6,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AGAT4,AMLOSAFE TM 40 10S,AMLOSAFETM4010S,22,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,IAVA1,ARVAST A 150MG CAP 10S,ARVASTA150MGCAP10S,24,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AGA3,AMLOSAFE 3D TAB 7S,AMLOSAFE3DTAB7S,40,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCAC4,ARBITEL CT 40 10S,ARBITELCT4010S,75,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SHAO,APCOD OBIS 5GM,APCODOBIS5GM,330,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,GMASC,ASCOVENTSR TAB 10S,ASCOVENTSRTAB10S,100,2019-04-30 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SAC,ADCAPONE TAB 10S,ADCAPONETAB10S,24,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AAC2,ATORFIT CV 20TAB 10S,ATORFITCV20TAB10S,141,2019-06-30 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CPAZ,AZ 500 TAB 3S,AZ500TAB3S,137,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,FIAGS,ARGIN 5GM 1S,ARGIN5GM1S,260,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AAC1,ATORFIT CV 10TAB 10S,ATORFITCV10TAB10S,35,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CARR,ASTHALIN RESP SOL 15ML.,ASTHALINRESPSOL15ML,19,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TA1V,AMPOXIN 1GM VAIL 1S,AMPOXIN1GMVAIL1S,80,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,BPAK,AMPILOX KID TAB. 10S,AMPILOXKIDTAB10S,50,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,STAC,AVARTA CREAM 50GM,AVARTACREAM50GM,2,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CHAS1,ANDRONAGEN SOLUTION 100ML,ANDRONAGENSOLUTION100ML,4,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,BPAC6,AMPILOX CV 625 TAB 10S,AMPILOXCV625TAB10S,33,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCATA,ARBITEL AM TAB 10S,ARBITELAMTAB10S,11,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SAP1,ARPIZOL 15 TAB 10S,ARPIZOL15TAB10S,26,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SAB,AMLOBET TAB. 14S,AMLOBETTAB14S,44,2018-10-31 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCAGM,AMLONG MT 50 7S,AMLONGMT507S,50,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,SA6,ANGIZEM 60 TAB 10S,ANGIZEM60TAB10S,12,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,CMAN,ADALENE NANOGEL 15GM,ADALENENANOGEL15GM,25,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TMAS,AMINO SEAL 3*10,AMINOSEAL3X10,30,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TA4M,AZULIX 4 MF TAB 10S,AZULIX4MFTAB10S,10,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TAM,AZULIX 1 MF 15S,AZULIX1MF15S,38,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TALM,AZULIX 4 MF/FORTE 10S,AZULIX4MFFORTE10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AA1,ATORFIT 10MG TAB 15S,ATORFIT10MGTAB15S,22,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AAF2,ATORFIT 20MG TAB 15S,ATORFIT20MGTAB15S,34,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,IAVC,ARVAST CF 10 TAB 10S,ARVASTCF10TAB10S,3,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,TMA,ANOEASE 6*4,ANOEASE6X4,60,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,ML2A,ATORCAID 20MG TAB 10S,ATORCAID20MGTAB10S,30,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,BMAG,ADGABA AT 100 TAB 3S,ADGABAAT100TAB3S,45,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MATS,ACENAC SP 10S,ACENACSP10S,112,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,GMAJ,ASCORIL D JUNIOR SY 60ML,ASCORILDJUNIORSY60ML,100,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MCAGH,AMLONG H TAB 15S,AMLONGHTAB15S,21,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,AKAZS2,A TO Z NS SY 200ML,ATOZNSSY200ML,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,GRASD,AIRTEC SF 250 R\C 30S,AIRTECSF250RC30S,52,2019-04-30 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MEAV1,ACCUZON 1GM 1MG,ACCUZON1GM1MG,155,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APA4,ATCHOL 40 TAB 10S,ATCHOL40TAB10S,29,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,WNA2,AXL 250 TAB 10S,AXL250TAB10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APAL,ATCHOL 20MG TAB 10S,ATCHOL20MGTAB10S,7,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APASR,ACECLO SR TAB 10S,ACECLOSRTAB10S,25,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APAM,ACECLO MR TAB 10S,ACECLOMRTAB10S,7,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APAAT,ALSARTAN AM TAB 10S,ALSARTANAMTAB10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,APAH,ALSARTAN H TAB. 10S,ALSARTANHTAB10S,20,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,BPAP,ACEBLOC P TAB 10S,ACEBLOCPTAB10S,100,2018-10-31 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,MEAZ5,ACCUZON 500 1MG,ACCUZON5001MG,50,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
AIOCD2501,LLA3,AKT 3 TAB. 2S,AKT3TAB2S,225,2019-07-15 00:00:00.000,92E68336-47F2-4BF9-A4FC-0FCDED445452
